City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tasiilaq,65.6145,-37.6368,23.25,94,100,11.59,GL,1636808145
Lompoc,34.6391,-120.4579,69.57,71,1,12.66,US,1636808146
Roald,62.5833,6.1333,48.33,81,75,6.91,NO,1636808148
Hofn,64.2539,-15.2082,43.61,97,100,16.2,IS,1636808149
Mount Isa,-20.7333,139.5,62.37,51,7,6.91,AU,1636808151
Blackfoot,43.1905,-112.345,51.76,71,100,11.97,US,1636807889
Wajima,37.4,136.9,56.8,64,28,14.56,JP,1636808154
Kushmurun,52.4503,64.6311,29.48,71,100,22.01,KZ,1636808155
Mahibadhoo,3.7833,72.9667,81.88,82,43,20.11,MV,1636808157
Caucayá,-0.1934,-74.7819,79.2,68,94,1.21,CO,1636808158
Kalemie,-5.9475,29.1947,88.09,38,93,7.07,CD,1636808159
Khatanga,71.9667,102.5,-24.32,95,36,4.05,RU,1636808161
Aklavik,68.2191,-135.0107,14.83,89,100,14.58,CA,1636808162
Taltal,-25.4,-70.4833,64.31,68,22,4.59,CL,1636808164
San Miguel de Cozumel,20.5083,-86.9458,78.94,90,25,5.01,MX,1636808165
Kaitangata,-46.2817,169.8464,48.72,96,100,6.08,NZ,1636808168
Bathsheba,13.2167,-59.5167,83.01,69,75,19.57,BB,1636808170
Pevek,69.7008,170.3133,6.35,96,90,4.45,RU,1636808172
Mata de São João,-12.5303,-38.2992,82.15,48,100,5.39,BR,1636808173
Dingle,10.9995,122.6711,77.54,90,100,6.17,PH,1636808174
Little Current,45.9793,-81.9248,39.25,75,100,10.4,CA,1636808176
Manggar,-2.8833,108.2667,80.6,78,100,1.5,ID,1636808177
Coquimbo,-29.9533,-71.3436,56.93,88,40,2.3,CL,1636808178
Tura,25.5198,90.2201,62.98,87,0,2.44,IN,1636808180
Aragarças,-15.8975,-52.2508,74.05,100,75,0.0,BR,1636808181
Longyearbyen,78.2186,15.6401,12.04,62,40,18.41,SJ,1636808182
Turaif,31.6725,38.6637,71.85,24,0,16.11,SA,1636808184
Dikson,73.5069,80.5464,5.38,94,100,15.41,RU,1636808185
Ponta do Sol,32.6667,-17.1,72.23,58,41,0.87,PT,1636808186
Puerto Escondido,15.85,-97.0667,72.43,78,1,9.22,MX,1636808188
Faanui,-16.4833,-151.75,78.85,71,86,11.12,PF,1636808189
Wahiawā,21.5028,-158.0236,70.47,82,92,2.46,US,1636808191
San Patricio,28.017,-97.5169,65.84,44,0,8.37,US,1636808192
Muros,42.7762,-9.0603,68.23,63,18,1.59,ES,1636808193
George Town,5.4112,100.3354,76.98,94,40,3.0,MY,1636807932
Bethanien,-26.502,17.1583,94.89,10,77,7.49,NA,1636808197
Yangi Marg`ilon,40.4272,71.7189,52.52,50,100,4.61,UZ,1636808198
Souillac,-20.5167,57.5167,81.36,69,40,11.5,MU,1636808200
Loudi,27.7344,111.9944,56.97,59,16,1.54,CN,1636808202
Castro,-24.7911,-50.0119,62.94,62,6,7.31,BR,1636808204
Peniche,39.3558,-9.3811,73.62,69,100,3.36,PT,1636808205
Madang,-5.2246,145.7966,78.22,87,55,1.72,PG,1636808206
Chardara,41.2547,67.9692,51.37,48,99,5.35,KZ,1636808208
Qaanaaq,77.484,-69.3632,-7.65,57,0,8.63,GL,1636808209
Finschhafen,-6.6024,147.8681,81.09,82,17,3.36,PG,1636808211
Atoka,34.4001,-96.0169,37.38,61,9,4.41,US,1636808212
Alofi,-19.0595,-169.9187,69.69,94,63,1.14,NU,1636808215
Klaksvík,62.2266,-6.589,47.32,96,100,16.73,FO,1636808216
Surovikino,48.6078,42.8486,49.84,59,8,12.21,RU,1636808218
Nyurba,63.2842,118.3319,-7.37,96,95,3.62,RU,1636808219
Saldanha,-33.0117,17.9442,66.18,77,100,15.3,ZA,1636808220
Baghdad,33.3406,44.4009,73.31,35,0,10.36,IQ,1636808222
Saint Paul Harbor,57.79,-152.4072,21.42,75,24,8.95,US,1636808223
Zemio,5.0314,25.1361,86.52,51,70,4.47,CF,1636808224
Chingirlau,51.095,54.0814,33.6,92,100,18.95,KZ,1636808226
Hithadhoo,-0.6,73.0833,81.43,79,98,11.41,MV,1636808227
Punta Arenas,-53.15,-70.9167,51.82,66,40,10.36,CL,1636808148
Port Blair,11.6667,92.75,80.02,78,100,4.34,IN,1636808138
Barcelona,41.3888,2.159,70.32,62,20,3.0,ES,1636808204
Odienné,9.51,-7.5692,84.9,33,76,5.99,CI,1636808232
Kruisfontein,-34.0033,24.7314,74.88,57,100,24.94,ZA,1636808233
Port Augusta,-32.5,137.7667,53.71,81,13,11.27,AU,1636808235
Havre-St-Pierre,50.2334,-63.5986,37.4,100,90,9.22,CA,1636808236
Xichang,27.8964,102.2634,47.79,87,44,1.86,CN,1636808237
Gamba,-2.65,10.0,74.88,91,100,5.5,GA,1636808239
La Roche-sur-Yon,46.6667,-1.4333,57.47,82,90,10.36,FR,1636808240
Chapais,49.7834,-74.8492,33.58,91,100,10.18,CA,1636808241
Torbay,47.6666,-52.7314,34.57,84,90,6.91,CA,1636808243
Guerrero Negro,27.9769,-114.0611,66.4,46,100,5.39,MX,1636808244
Jumla,29.2747,82.1838,45.61,54,0,4.5,NP,1636808070
Saint-Philippe,-21.3585,55.7679,81.95,76,23,11.05,RE,1636808247
Mizdah,31.4451,12.9801,69.75,55,100,15.7,LY,1636808248
Yenagoa,4.9247,6.2642,85.14,70,100,2.46,NG,1636808249
Hamilton,39.1834,-84.5333,36.79,82,94,1.01,US,1636808251
Sept-Îles,50.2001,-66.3821,35.06,97,90,5.99,CA,1636808252
Tamiahua,21.2667,-97.45,68.14,86,0,6.35,MX,1636808253
Pisco,-13.7,-76.2167,64.02,88,90,2.3,PE,1636808256
Zhangzhou,24.5133,117.6556,66.15,79,88,2.77,CN,1636808257
Hays,30.0502,-98.0336,47.79,55,3,5.53,US,1636808260
Hasaki,35.7333,140.8333,45.0,51,100,6.33,JP,1636808261
Upernavik,72.7868,-56.1549,10.71,91,100,12.39,GL,1636808263
Kalmar,56.6616,16.3616,48.15,98,90,8.05,SE,1636808265
Nikolskoye,59.7035,30.7861,39.87,92,61,3.91,RU,1636808267
Husavik,66.0449,-17.3389,40.91,88,100,21.56,IS,1636808235
Kiryat Gat,31.61,34.7642,84.88,18,100,3.71,IL,1636808162
Cherskiy,68.75,161.3,10.31,96,100,2.89,RU,1636808272
Wamba,8.9333,8.6,92.88,31,100,4.63,NG,1636808274
Chililabombwe,-12.3648,27.8229,91.72,22,48,5.19,ZM,1636808275
Faya,18.3851,42.4509,77.11,30,4,4.88,SA,1636808277
Ribeira Grande,38.5167,-28.7,66.6,72,75,8.05,PT,1636808278
Urengoy,65.9667,78.3667,10.2,96,100,6.31,RU,1636808279
Fort Nelson,58.8053,-122.7002,18.99,93,90,3.44,CA,1636808281
Florø,61.5996,5.0328,53.67,71,90,4.61,NO,1636808282
Geraldton,-28.7667,114.6,64.13,77,99,5.75,AU,1636808285
Samarai,-10.6167,150.6667,82.11,83,100,5.01,PG,1636808286
Port Alfred,-33.5906,26.891,70.39,69,41,20.74,ZA,1636808287
Naze,28.3667,129.4833,61.05,67,100,6.6,JP,1636808289
Carnarvon,-24.8667,113.6333,71.67,78,0,17.27,AU,1636808291
Loíza,18.4313,-65.8802,86.97,90,45,12.35,PR,1636808293
Nísia Floresta,-6.0911,-35.2086,86.81,54,100,13.18,BR,1636808295
Saint George,37.1041,-113.5841,61.36,43,3,2.86,US,1636808176
Umeå,63.8284,20.2597,31.93,80,0,4.61,SE,1636808298
San Jose,37.3394,-121.895,61.92,79,90,0.0,US,1636808221
Lewisville,33.0462,-96.9942,41.67,76,8,4.97,US,1636808300
Bethel,41.3712,-73.414,54.48,96,20,0.0,US,1636808302
Westport,41.1415,-73.3579,56.08,88,0,1.99,US,1636808154
Garden City,42.3256,-83.331,37.89,86,90,16.11,US,1636808173
Kodinsk,58.6881,99.1844,14.81,94,100,4.21,RU,1636808305
Nome,64.5011,-165.4064,4.95,94,61,4.65,US,1636808307
Arraial do Cabo,-22.9661,-42.0278,67.86,77,75,3.44,BR,1636808308
Powell River,49.8496,-124.5361,48.2,83,100,0.29,CA,1636808310
Broken Hill,-31.95,141.4333,56.91,62,90,5.75,AU,1636808311
Mayo,38.8876,-76.5119,55.94,86,100,1.01,US,1636808312
Takaka,-40.85,172.8,58.55,91,41,6.55,NZ,1636808314
Bahir Dar,11.5936,37.3908,72.64,57,62,8.48,ET,1636808315
Walvis Bay,-22.9575,14.5053,64.09,56,42,10.63,NA,1636808316
Beipiao,41.7919,120.7792,31.35,81,11,3.47,CN,1636808318
Lagoa,39.05,-27.9833,64.44,76,100,12.59,PT,1636808319
Usinsk,65.9939,57.5281,11.75,93,66,10.94,RU,1636808321
Cape Town,-33.9258,18.4232,77.11,48,40,5.99,ZA,1636808322
Grindavik,63.8424,-22.4338,46.87,81,75,49.48,IS,1636808323
Bandarbeyla,9.4942,50.8122,80.51,67,100,17.34,SO,1636808325
Egvekinot,66.3167,-179.1667,1.33,94,81,2.8,RU,1636808326
Makhachkala,42.9764,47.5024,53.58,49,1,7.49,RU,1636808329
Berdychiv,49.8993,28.6024,48.15,48,16,9.28,UA,1636808330
Leshukonskoye,64.8989,45.7622,20.1,94,51,4.21,RU,1636808332
Haines Junction,60.7522,-137.5108,15.75,86,100,4.61,CA,1636808333
Hermanus,-34.4187,19.2345,71.8,71,84,13.53,ZA,1636808334
Vila Velha,-20.3297,-40.2925,69.75,88,90,7.0,BR,1636808206
Kuytun,54.3419,101.5036,20.98,97,79,3.38,RU,1636808338
Banda Aceh,5.5577,95.3222,80.33,80,100,9.4,ID,1636808339
Moerai,-22.4333,-151.3333,74.05,72,100,7.65,PF,1636808341
Salalah,17.0151,54.0924,81.68,53,2,6.22,OM,1636808342
Kjøpsvik,68.097,16.3742,41.16,89,100,8.14,NO,1636808344
Huarmey,-10.0681,-78.1522,64.9,81,90,6.6,PE,1636808345
Estelle,29.8458,-90.1067,54.0,62,0,3.0,US,1636808346
Cocobeach,1.0002,9.5823,85.93,77,44,8.99,GA,1636808348
Atuona,-9.8,-139.0333,77.41,69,32,15.84,PF,1636808349
Milledgeville,33.0801,-83.2321,50.49,71,0,7.9,US,1636808331
Kadom,54.5592,42.4675,35.8,80,100,9.24,RU,1636808352
Barsovo,61.1667,73.1667,23.13,94,98,5.01,RU,1636808353
Cayenne,4.9333,-52.3333,86.09,76,75,3.0,GF,1636808260
Khāsh,28.2211,61.2158,66.45,15,0,4.99,IR,1636808357
Jalor,25.35,72.6167,77.83,20,5,6.15,IN,1636808359
Abhā,18.2164,42.5053,76.82,7,0,9.22,SA,1636808361
Matagami,49.7502,-77.6328,32.11,97,90,6.91,CA,1636808362
Homer,59.6425,-151.5483,17.76,88,99,8.43,US,1636808363
Half Moon Bay,37.4636,-122.4286,61.97,93,40,0.0,US,1636808365
Rivera,-30.9053,-55.5508,70.34,62,0,12.62,UY,1636808366
Semnan,35.5729,53.3971,54.46,42,0,1.63,IR,1636808368
Tuatapere,-46.1333,167.6833,46.81,96,100,2.35,NZ,1636808369
Leningradskiy,69.3833,178.4167,12.16,96,100,3.78,RU,1636808372
Anzio,41.4853,12.6179,69.49,70,91,4.14,IT,1636808373
Kabinda,-6.1333,24.4833,82.65,61,100,3.04,CD,1636808374
Arman',59.7,150.1667,37.02,95,100,7.29,RU,1636808376
Hervey Bay,-25.2986,152.8535,69.03,56,0,6.67,AU,1636808377
Smithers,54.7804,-127.1743,32.32,93,90,4.61,CA,1636808123
Yaritagua,10.08,-69.1261,70.86,68,96,3.38,VE,1636808380
Caravelas,-17.7125,-39.2481,69.48,90,100,11.3,BR,1636808381
Paamiut,61.994,-49.6678,8.89,74,1,7.27,GL,1636808382
Isiro,2.7739,27.616,72.18,92,100,1.9,CD,1636808384
Ankara,39.9199,32.8543,54.52,40,99,2.08,TR,1636808372
Río Gallegos,-51.6226,-69.2181,57.25,38,75,9.22,AR,1636808236
Gazli,40.1333,63.45,48.47,32,42,8.08,UZ,1636808387
Fray Bentos,-33.1325,-58.2956,71.73,57,0,16.71,UY,1636808389
Dalen,52.6992,6.7556,53.89,92,96,1.01,NL,1636808391
Forsytheganj,52.6333,29.7333,42.22,71,23,4.18,BY,1636808393
Gao,16.6362,1.637,92.73,6,100,7.36,ML,1636808394
Lagunas,-5.2269,-75.6753,73.22,98,100,0.07,PE,1636808396
Cidreira,-30.1811,-50.2056,68.76,63,15,17.45,BR,1636808397
Lourdes,43.1,-0.05,63.93,76,90,5.75,FR,1636808398
La Roda,39.2167,-2.15,63.79,40,6,9.1,ES,1636808400
Port Elizabeth,-33.918,25.5701,76.1,67,100,21.85,ZA,1636808402
Kasama,-10.2129,31.1808,91.31,19,75,6.58,ZM,1636808406
Ilulissat,69.2167,-51.1,-8.0,74,36,6.96,GL,1636808411
Yining,29.0361,114.5636,51.67,57,99,1.36,CN,1636808412
Balkhash,46.844,74.9804,37.33,55,18,8.3,KZ,1636808416
College,64.8569,-147.8028,0.9,83,98,1.14,US,1636808417
Taungdwingyi,20.0167,95.55,78.13,78,47,4.21,MM,1636808418
Rawson,-43.3002,-65.1023,63.45,75,100,10.96,AR,1636808343
Ourinhos,-22.9789,-49.8706,73.67,37,100,9.53,BR,1636808421
Lüderitz,-26.6481,15.1594,75.74,54,9,20.38,NA,1636808423
Priekule,56.4468,21.5897,43.99,77,100,7.76,LV,1636808424
Clifton Springs,-38.15,144.5667,52.95,81,100,1.99,AU,1636808426
Mokhsogollokh,61.4681,128.9203,-9.08,99,38,3.47,RU,1636808427
Lorengau,-2.0226,147.2712,80.89,82,28,4.83,PG,1636808430
Te Anau,-45.4167,167.7167,45.03,98,100,0.74,NZ,1636808431
Flin Flon,54.7682,-101.865,24.64,93,90,9.22,CA,1636808433
Ust'-Koksa,50.2696,85.6108,20.16,93,56,1.95,RU,1636808434
Norman Wells,65.282,-126.8329,8.64,72,75,10.36,CA,1636808230
Idlib,35.9306,36.6339,69.33,19,26,13.06,SY,1636808436
Avera,33.194,-82.5271,50.72,66,0,8.48,US,1636808438
Los Llanos de Aridane,28.6585,-17.9182,67.75,78,75,1.99,ES,1636808439
Shrewsbury,52.7101,-2.7521,56.3,83,36,11.83,GB,1636808215
Kadoma,34.7333,135.5833,53.19,61,100,4.09,JP,1636808442
Zabaykal'sk,49.6333,117.3167,25.57,68,55,9.57,RU,1636808443
Mendoza,-32.8908,-68.8272,77.14,45,0,15.99,AR,1636808445
Inta,66.0317,60.1659,4.77,99,97,5.5,RU,1636808446
Pochutla,15.7432,-96.4661,71.42,51,0,4.41,MX,1636808448
Green Valley,31.8543,-110.9937,65.5,22,0,4.43,US,1636808449
Palmer,42.1584,-72.3287,46.89,85,0,1.9,US,1636808451
Sarangani,5.4033,125.4636,84.02,74,100,10.42,PH,1636808452
Kudahuvadhoo,2.6708,72.8944,82.56,77,100,19.86,MV,1636808453
Ngorongoro,-3.2397,35.4875,69.04,35,82,9.64,TZ,1636808455
Mimongo,-1.6195,11.6068,78.6,86,79,5.08,GA,1636808456
Road Town,18.4167,-64.6167,82.0,75,20,17.87,VG,1636808425
Kokopo,-4.352,152.2633,78.31,85,90,2.75,PG,1636808459
Qaqortoq,60.7167,-46.0333,14.5,78,1,2.15,GL,1636808461
Piancó,-7.1981,-37.9292,90.05,40,17,5.82,BR,1636808462
Ossora,59.2353,163.0719,35.71,99,100,8.1,RU,1636808464
Dauphin,51.1494,-100.0502,24.94,86,90,9.22,CA,1636808465
Santa Rosa,14.3122,121.1114,83.1,77,53,8.19,PH,1636808467
Kultuk,51.7208,103.6956,31.62,88,100,3.31,RU,1636808468
Surin,14.8818,103.4936,72.05,74,99,11.34,TH,1636808457
Narsaq,60.9167,-46.05,14.22,72,0,4.41,GL,1636808471
Katsuura,35.1333,140.3,58.1,62,100,8.01,JP,1636808472
Wakema,16.6,95.1833,77.83,85,28,5.37,MM,1636808474
Balkanabat,39.5108,54.3671,54.25,44,16,3.71,TM,1636808475
Clyde River,70.4692,-68.5914,-3.91,92,42,4.76,CA,1636808476
Chipinge,-20.1883,32.6236,71.08,66,100,5.7,ZW,1636808478
Yatou,37.15,122.3833,49.33,53,0,6.11,CN,1636808479
Vanavara,60.34,102.2797,-3.44,100,100,2.86,RU,1636808481
Lere,10.387,8.5726,93.31,13,57,4.34,NG,1636808482
Los Arabos,22.7281,-80.7214,74.89,83,17,3.04,CU,1636808483
Guérande,47.3291,-2.4283,57.61,80,100,11.21,FR,1636808485
Rocha,-34.4833,-54.3333,68.85,52,0,15.61,UY,1636808486
Beloeil,45.5668,-73.1992,45.25,94,75,3.0,CA,1636808488
Kodār,16.9833,79.9667,75.76,94,100,6.49,IN,1636808489
Codrington,-38.2667,141.9667,41.85,94,27,9.53,AU,1636808490
Cabinda,-5.55,12.2,84.0,69,90,12.3,AO,1636808492
San Vicente,-26.6167,-54.1333,75.99,45,0,5.66,AR,1636808493
Mossamedes,-15.1961,12.1522,76.75,69,24,13.29,AO,1636808495
Shitanjing,39.2342,106.3439,35.42,25,0,6.29,CN,1636808496
Batagay-Alyta,67.8006,130.4114,-10.08,100,100,2.15,RU,1636808498
Bonanza,14.0289,-84.591,71.96,98,100,2.24,NI,1636808427
Ust'-Kut,56.7938,105.7672,8.65,98,67,2.06,RU,1636808501
Vung Tau,10.346,107.0843,81.75,81,100,18.9,VN,1636808503
Aksarka,66.5606,67.7975,4.03,98,58,5.59,RU,1636808504
Bonthe,7.5264,-12.505,89.24,58,76,3.24,SL,1636808506
Bongandanga,1.5,21.05,82.63,63,60,5.75,CD,1636808507
Hualmay,-11.0964,-77.6139,64.42,81,100,7.99,PE,1636808509
Frankfort,-27.2667,28.4833,88.84,11,19,15.77,ZA,1636808418
São José da Coroa Grande,-8.8978,-35.1478,84.29,62,9,9.4,BR,1636808511
Cam Ranh,11.9214,109.1591,75.16,100,75,3.44,VN,1636808513
Diamantina,-18.2494,-43.6003,58.69,89,100,7.14,BR,1636808514
Dalvik,65.9702,-18.5286,40.93,85,87,13.31,IS,1636808516
Watertown,42.3709,-71.1828,51.58,87,1,0.0,US,1636808517
Talnakh,69.4865,88.3972,9.54,84,100,16.64,RU,1636808519
Katangli,51.7102,143.2326,26.33,83,67,8.55,RU,1636808520
Porirua,-41.1333,174.85,61.56,70,66,1.99,NZ,1636808521
Vestmannaeyjar,63.4427,-20.2734,45.59,100,90,46.04,IS,1636808523
Bonavista,48.6499,-53.1147,37.11,74,100,12.3,CA,1636808525
Omsukchan,62.5333,155.8,21.72,97,100,0.96,RU,1636808526
Concarneau,47.875,-3.9225,58.82,74,89,9.75,FR,1636808527
Klyuchi,52.2667,79.1667,32.92,57,100,10.67,RU,1636808529
Vao,-22.6667,167.4833,75.2,88,84,11.39,NC,1636808530
Sitka,57.0531,-135.33,39.09,81,90,8.05,US,1636808532
Punta Cardon,11.6581,-70.215,81.07,71,72,14.85,VE,1636808534
Skara,58.3866,13.4384,43.72,86,100,8.21,SE,1636808536
Havelock,34.8791,-76.9013,60.94,84,0,7.11,US,1636808537
Harper,4.375,-7.7169,82.09,74,98,5.79,LR,1636808538
Ponta Delgada,37.7333,-25.6667,74.5,82,40,19.57,PT,1636808540
Tiksi,71.6872,128.8694,-9.74,100,100,3.85,RU,1636808541
Gizo Government Station,-8.103,156.8419,82.08,77,68,3.85,SB,1636808542
Krasnosel'kup,65.7,82.4667,9.9,95,100,9.6,RU,1636808544
Saint-André-Avellin,45.7168,-75.066,38.82,96,100,2.8,CA,1636808461
Lensk,60.7253,114.9278,4.44,96,100,2.33,RU,1636808546
Nishihara,26.1842,127.7558,66.25,91,90,8.05,JP,1636808548
La Ronge,55.1001,-105.2842,23.11,80,73,10.22,CA,1636808549
Balfour,-26.6633,28.5902,87.51,13,100,11.32,ZA,1636808551
Meulaboh,4.1363,96.1285,79.16,80,100,2.84,ID,1636808552
Pechora,65.1472,57.2244,17.71,95,97,7.0,RU,1636808555
Mosquera,4.7059,-74.2302,56.1,83,100,1.81,CO,1636808556
Manokwari,-0.8667,134.0833,79.9,82,90,1.48,ID,1636808559
Proletarsk,46.7031,41.7192,50.22,54,4,7.96,RU,1636808560
Burgeo,47.6167,-57.6152,42.3,82,100,21.88,CA,1636808470
Benghazi,32.1167,20.0667,72.05,54,100,6.44,LY,1636808423
Sudzha,51.1976,35.2726,41.94,66,24,6.2,RU,1636808564
Arrondissement du Havre,49.5833,0.3333,55.8,71,90,14.97,FR,1636808565
Dolores,-36.3132,-57.6792,69.21,51,16,19.77,AR,1636808402
Bilibino,68.0546,166.4372,11.8,96,100,4.5,RU,1636808568
Yulara,-25.2406,130.9889,66.9,32,0,9.22,AU,1636808569
Kidal,18.4411,1.4078,89.89,7,92,7.09,ML,1636808571
Goundi,9.3627,17.366,101.39,18,47,1.43,TD,1636808572
Le Mars,42.7942,-96.1656,27.3,86,90,4.61,US,1636808574
Belle Fourche,44.6714,-103.8522,60.08,39,100,11.01,US,1636808575
Riverton,40.5219,-111.9391,52.38,71,1,5.01,US,1636808412
Cervo,43.6702,-7.4101,62.19,75,8,6.58,ES,1636808579
Havøysund,70.9963,24.6622,35.83,95,100,18.25,NO,1636808580
Kulhudhuffushi,6.6221,73.07,82.06,81,98,25.46,MV,1636808581
Victoria Point,-27.5833,153.3,67.17,62,0,1.01,AU,1636808583
Paracuru,-3.41,-39.0306,87.82,58,100,12.44,BR,1636808572
